adpu,其实
fpwd,壹佰
ftak,考勤
ftih,老小
ftis,老酒
ftss,老林
ftxe,考级
fjwg,韩愈
fkhk,鼓点
fipu,求实
fijg,求是
fitk,求和
fmtl,南粤
fmuq,南郊
fmva,击毁
fifp,求索
fiey,未及
fhxx,真丝
fhtg,起重
fhrr,起誓
fhll,盐田
fhjh,起早
fgvy,干娘
fgjs,干果
fgah,博雅
fdyl,震颤
fnss,违禁
fudm,幸而
fbpw,地窖
fbrv,地热
fdfd,霏霏
fujf,霎时
fyww,坑人
fyud,坟头
fwcl,规劝
fvgf,雪球
fvee,雪豹
fvdr,雪原
futj,幸得
ftgc,老到
fqit,顽劣
fpbb,壳子
fntj,馨香
fnpv,专案
fngq,专列
fmud,南头
fmss,南麓
fllt,协力
fkfn,鼓声
fjyq,井底
fjss,翰林
fjqt,进犯
fhyi,赴京
fhyc,直译
fhxe,越级
fmwt,击伤
fhwh,真个
fhut,走道
fhqe,直角
fhfn,盐场
fgxx,雨丝
fgnn,干尸
fcfg,云雨
fbfc,地支
fapt,载客
fmje,南明
fnfg,志士
foyd,赤诚
fqyq,无底
fqyy,无方
ftif,教法
ftnt,教改
ftpw,老窝
ftsg,老本
ftwu,老僧
fuir,增派
fwai,零落
fffb,封地
fffa,堵截
fdud,城头
fkkk,鼓噪
fkyd,嘉庆
fgut,干瘪
fhfn,赶场
fhlq,走软
fcry,劫掠
fbim,地洞
faih,载波
fhlw,越界
fhmg,趋同
fqbf,无际
fkjj,吉日
fcbc,支取
fpit,过少
fafm,截击
fawy,截住
faqy,截留
faty,截稿
ffgu,填平
fcrq,运抵
fcov,劫数
fcvo,魂灵
fcsu,云梯
fwtd,霍乱
ftyq,老底
ftxl,老幼
ftwv,考分
fttg,老生
fquj,顽童
fpfp,勃勃
foqc,赤色
foii,赤水
fnww,卖价
fnth,声息
fnpw,亏空
fniy,声浪
fkbf,嘉陵
fjmh,进帐
fjjp,朝晖
fhtd,真知
fhrv,趁势
fhlg,赶车
fhhi,走步
fgwx,干货
fffw,土堆
fcut,动产
fcnn,支局
fciw,云雀
fatg,载重
fyfn,坟场
fwtd,零乱
ftyj,教课
ftvt,老九
ftkh,考中
fthw,老龄
fqra,无措
fqkh,远足
fpyu,过谦
fprt,过手
fobb,赤子
fnuk,声部
fnud,块状
fnta,场长
fnsa,专横
fnkj,卖唱
fmfk,击鼓
fkjt,吉星
fius,求新
fhyo,真迹
fhvi,直隶
fhtx,直系
fhfc,超支
fhef,起脚
fgyw,士卒
fgut,干道
fggq,干裂
fgdq,干爽
ffyt,土话
fltp,雷管
fman,献艺
fpdn,壹万
fpfa,过载
fphv,过眼
fpmd,索贿
fpnt,勃发
fuad,幸甚
fuag,丧葬
furn,丧气
fvgd,雪天
fvsw,雪松
fakm,塔吊
fapl,裁军
fdby,城防
ftaa,教工
ftfg,教士
ftge,老表
ffrf,土质
ffts,封条
fhaa,赶工
fhfu,越境
fhkj,真唱
ftva,老妪
fhlk,越加
fhlv,越轨
fhpw,真容
fhuj,真意
fhut,坡道
fhwi,走俏
fhwv,盐分
firg,救兵
fcjg,动量
fbte,地租
fawg,栽倒
ftxn,老幺
fkyy,吉言
fnfj,专刊
fnqt,违犯
fnsc,专权
fnud,块头
foux,赫兹
fowv,赤贫
fqit,远海
fqiy,远游
fquy,远门
fqyn,远房
ftaf,教鞭
ftrn,考据
fuga,增开
fupy,丧礼
fvst,雪橇
fasd,塔顶
fbdx,地龙
fbey,地脉
fcoo,去火
ffmm,封山
fgfc,干支
fhhw,超龄
fhjg,超量
fhpw,走穴
fhud,起头
fhut,直道
fhxe,趋缓
fjah,朝臣
ftus,雾凇
fhcn,走马
fvii,雪水
fhin,走漏
fhum,盐商
fmmw,南岭
fmqv,击键
fnlf,专署
fnrx,专指
fpyt,过话
fgtf,二毛
fgnm,雨刷
fgdg,博古
ffip,封赏
fdet,需用
fcyy,动议
fctd,运筹
fcrn,动气
fcpe,支农
fbqg,地铺
famh,戴帽
fhsc,越权
fsua,霜冻
ftaj,老茧
ftrn,老气
fcgk,支吾
ffyq,封底
fghx,干柴
fgky,干咳
fvyw,雪夜
fuqk,丧钟
fhtu,越冬
fhxt,起疑
fimt,未几
fiwg,求全
ftfg,考博
fqqi,远销
fqbg,远隔
fnyw,专座
fjam,朝贡
fnyg,卖主
fkmh,喜帖
ffgg,封王
fnrp,声控
fjjj,朝日
fjwt,坦途
fmtg,献策
faid,塔尖
fasf,栽植
fbip,地学
fbqv,地煞
fcff,动土
fcid,云涛
fckh,支路
fckh,云贵
fcrg,劫后
fcxg,云母
ffec,土肥
fffg,土坯
ffnf,土层
ffsv,墙根
fhkh,赶跑
fgxa,干红
fgww,士人
fgft,雨雾
fgbb,坯子
fgaj,干草
fjby,堤防
fjtj,进香
fjyy,进言
fmaq,南欧
fiaq,示警
filk,救驾
fhad,超期
fhjc,趋紧
fwgk,规整
fwaw,零花
fvbh,雪耻
fnym,专设
ftug,老辣
fthw,教具
fnca,韧劲
fnfh,志趣
fpuw,过冷
fqdg,顽石
fqrn,远扬
fqry,顽抗
fqsy,无核
fquq,远郊
fffh,土坡
fntt,卖笑
fnyy,声言
foeg,赤膊
fpxo,过继
fqmt,无几
fqus,远亲
fqwt,无余
ftmf,老财
fuwj,丧偶
fuwq,丧父
fhjh,赶早
fhta,直升
fhth,起算
fhym,走调
fiqd,未然
fius,求亲
fjgk,进逼
fkyq,露底
faiy,截流
faqh,域外
fbtv,地委
fdih,震波
ffag,土葬
fhft,赶考
fhae,走散
fgny,二心
fgmh,干贝
fgag,干戈
fokh,赤足
fnip,声学
fndg,声威
flja,雷暴
fkkh,鼓足
fjxm,朝纲
fjrm,进制
fjfk,朝露
fqbe,无阻
fqkm,元勋
fqqt,坎儿
fqxf,无疆
fifn,救场
fhfh,趔趄
ftaq,教区
ftaq,考区
ftdy,老态
ftee,才貌
ftfy,雾霭
ftin,老汤
ftwx,雾化
futf,增选
fuvf,霎那
fwcc,堆叠
fywq,坑爹
ffef,墙脚
fckh,动嘴
fcjg,运量
fbrn,地气
fbbq,地陷
fass,塔林
fghw,雨具
fgaw,干花
fthi,老叔
ftdj,老辈
fskf,霜叶
fqrv,均势
fquj,元音
fvxg,雪线
ftvv,孝女
ffut,土产
fqut,远道
fqwv,均分
ftir,老派
foxa,赤红
fnwg,违例
fnff,专款
fmyf,献计
ffou,填料
fcqr,云锦
fkyd,吉庆
fckk,动口
fcga,支开
faqd,截然
fkqi,鼓乐
fjrg,进兵
fjmd,堤岸
fjdj,韩非
fhwt,赴任
fhff,起卦
fhfb,坡地
fgwg,十全
fgsu,干校
fgij,干渴
fchi,却步
fcyw,支座
fdbr,城隍
fifg,求雨
fqpg,无定
fiyn,救亡
fqug,顽症
fqwx,无华
ffdd,封套
ffyg,土语
ffyt,土族
fgcn,干巴
fjfu,进境
fmbb,坝子
fgow,干粉
fntp,专管
fogk,赤豆
fotm,赤身
fpfi,索求
fpha,过虑
ftnu,教习
ftxg,教母
ftxu,老弱
ftyu,孝廉
fuiq,增光
furr,增白
fvth,雪片
fybb,墩子
fykk,坑口
fhbb,起子
fhga,走形
fqkh,远路
fhdy,盐矿
fptj,过筛
fhwf,赴会
fbtr,地物
fltp,协管
fnlt,韬略
fnxg,声母
ftyo,霉变
fuxg,丧母
ftip,考学
fwxj,规费
fyiq,壕沟
fgyk,博识
fffy,填坑
fack,塔台
fbxg,地线
ffbb,款子
ffhc,封皮
fhoj,起爆
ficw,救难
fipy,求神
fjlf,翰墨
fkqn,鼓包
flsj,协查
ffyp,土豪
fyap,坟茔
fwsg,堆栈
ftuw,教益
ftfw,教规
ftft,耄耋
fsbt,霜降
fqtd,无稽
fqnt,无性
fqmh,无由
fqma,元曲
fnub,违逆
fmnt,击发
fkqc,喜色
fkiq,吉兆
fiwj,求偶
fgud,寸头
fgrv,雨势
fgiy,干流
ffga,款型
fcqt,劫狱
fbgq,地裂
fbfc,地动
fbdh,地契
fgff,寸土
ffpy,封禅
ffmm,土山
ffaa,土工
fdfg,城垣
fcue,支前
fcse,云杉
fclf,云团
fbdu,地磁
fary,裁撤
fwaa,零工
fufj,增刊
ftyk,才识
ftln,才思
fqrg,无后
fqdn,无成
fjll,井田
fitw,求签
fijf,未时
fhyw,起夜
fhyf,走读
fhul,走兽
fhkm,超员
fhhh,起止
fhgf,起球
fhef,赶脚
flqy,雷鸟
flfc,雷动
fpiv,过当
fkpy,嘉祥
fjym,埋设
fjyg,进谏
fjwu,进位
fggh,干政
fayy,载文
fgae,干菜
fgxj,士绅
fhhv,起眼
fhtt,起笔
fhyo,趣谈
fisk,未可
fjfh,井盐
fjfm,进献
fjut,埋首
fmpg,献宝
fncc,块垒
fnyg,场主
fpqd,索然
fpqv,过急
fqha,无虑
fqnc,无怪
fosw,赤松
fcqi,运销
fcsm,劫机
fcwg,支使
fffn,土块
ffrb,墙报
ffwq,款爷
fkrb,喜报
fasc,栽树
fbpw,地穴
fcbd,支承
fclp,支边
fqpy,远视
ftaw,煮茶
ftna,教民
fuvf,增建
fwet,零用
fafc,载运
fawx,载货
fdyb,城郭
ffif,土法
ffkk,堵口
ffqn,土包
fgem,干股
fgtr,博物
fgtt,干笑
fgui,干冰
fhrn,直拨
fiun,未决
fkis,露酒
fknf,露怯
flxq,协约
fmab,击节
fnfg,专干
fnwq,声像
fwxq,规约
fyif,坑洼
fbdy,地矿
fbmh,地幔
fcbk,去职
fhkh,直路
fyqs,坑杀
ffpf,填塞
ffrg,土丘
fgii,坏水
fgny,寸心
fgsg,干酪
fguv,干瘦
fguw,干冷
fihc,裘皮
fihh,未卜
fiwm,求仙
fjak,朝觐
fjmq,朝见
fkyt,嘉许
fnny,亏心
fnyn,场记
foqq,赤金
fqfn,远志
fqrm,无缺
ftaw,老花
ftdc,教友
ftwp,老倌
fupe,丧家
fvit,雪海
foaq,赤芍
fpad,过甚
fpbb,坨子
fqfg,无干
fqha,远虑
fnid,声源
fnfn,声场
fngk,声速
fqyn,坎肩
fugv,丧妻
ftrn,霉气
fthw,教龄
faaw,栽花
fqpu,无补
fflq,填鸭
fges,博采
fggr,雨珠
fgky,干嚎
fgub,博闻
fgue,坏疽
fqrc,均摊
fhfc,起运
fhfj,盐井
fhlk,起驾
fhxq,超绝
fkpg,露富
fjeb,朝服
fket,鼓胀
fbye,地衣
fhag,赶巧
fngm,专责
ffoy,土炕
fkrn,鼓气
fkiy,鼓浪
ffuy,封门
fgia,干渠
fbak,地勤
fbiq,地沟
fpip,过堂
fpov,过数
fpst,索桥
fqsg,元配
fcde,云鬓
ftlt,才力
ftoe,老粗
fufw,丧夫
fvjf,雪野
fwqd,霍然
fqtf,无行
fhba,直陈
fhkh,走跌
ffhc,墙皮
fhod,盐类
fibw,救险
fnon,专断
fihk,求战
fjad,进项
fjhk,进占
fnac,块茎
fmyn,献词
fmud,南拳
ffdm,土布
fgaf,雨鞋
fgdm,坯布
fgng,雨情
fhwf,真值
fhxy,超编
fitf,求告
fiyw,求诊
fjjc,进贤
flgj,协理
fauc,截瘫
fteb,孝服
fdds,城厢
fuej,丧胆
ftym,老调
ftug,老病
fnft,卖老
fkea,鼓膜
fmxf,南纬
fnyg,声请
fpiw,勃兴
fpjn,过电
fpxl,过细
ftmt,老账
ftvh,老叟
fitj,求利
fjqd,井然
futm,丧身
fcfv,云霓
fcic,云涌
fhig,盐渍
fhdd,盐碱
fcey,支脉
fbea,地膜
fbam,地黄
fhig,颠沛
fiap,求荣
fhit,赶海
fhqk,超逸
fwfn,堆场
fafk,坩埚
fyff,壤土
fwsc,夫权
ftsh,老相
fgxf,干结
fgvt,干群
fgfc,雨云
ffyn,土房
ffua,封冻
fjvj,进剿
fuiq,增辉
fhyw,走卒
fcut,劫道
fhxg,真纯
fhny,直尺
fhib,盐池
fctx,支系
fcyb,支离
fwnh,零蛋
fqdc,均码
fnrn,声扬
fkmq,鼓风
fpqd,勃然
fpca,过劲
fjrq,进抵
fjqg,刊印
fjqf,进针
fjaj,朝暮
fhhv,走眼
fhbw,走险
fgrh,雨披
faaw,戴花
faiv,堪当
fbia,邗江
fbsc,地权
ffis,封河
ffrm,土制
ffte,封盘
fgaf,雨靴
fgaj,雨幕
fghi,寸步
fwrj,零担
ftdg,老厂
fsaw,霜花
fqre,无援
fqad,元戎
fuij,增温
fcuj,运单
fdng,震情
ftuy,教门
fgon,寸断
fsgd,霜天
fptf,壹千
fmrf,献技
fdfh,城址
fdkc,城邑
ffxf,封疆
fjnk,井壁
flib,雷池
fnkg,专号
fort,赤手
fpug,壶盖
fumm,增删
fyfw,坟堆
faiw,载誉
fbef,地脚
fcee,云豹
faft,戴孝
fahi,载频
fhiw,起兴
finf,求导
fivc,未始
fjlk,井架
fnsv,块根
fnwt,专任
fpny,过心
fueb,丧服
fkfb,露地
fnbp,场院
foif,赤潮
fony,赤心
fydm,墩布
fhhl,盐卤
fgam,二黄
fcir,支派
fmfh,坝址
fblm,地轴
fpdu,过磅
fodg,赭石
fhes,直腰
fqgg,均一
fgjy,雨景
ffpt,款额
fcdf,劫夺
fbsy,地核
faxu,霰弹
ftou,霉烂
fuff,培土
fwec,堆肥
fbij,地温
fgal,寸功
fmkk,垛口
fnfl,霹雷
fnhi,声频
fnvb,卖好
foej,赤胆
fkrr,露白
fcyi,支应
fkai,鼓荡
fnep,声腔
fttp,教管
fpmt,过账
ftiq,老光
fufa,境域
fvnv,雪恨
fycy,坑骗
fwit,零活
fksw,鼓槌
fmtd,献辞
fvyn,雪盲
fnks,卖呆
fjdw,朝奉
fufk,幸喜
fqpl,顽军
fqpt,远客
fmyj,南齐
ffth,圭臬
fhnk,趋避
fiax,救药
fiwy,求售
fjxk,井绳
fdfp,需索
fkfu,喜丧
fkfg,喜雨
fhrc,直抒
fgrr,干白
ffwx,土货
ffcm,寺观
fwdh,堆存
fnjt,韬晦
fmck,坍台
fksh,露相
fkqe,鼓角
fque,无前
fhrd,超拔
fcmd,云崖
fhou,盐粒
fyqn,坟包
ftad,考期
ftwy,教令
futd,丧乱
fuys,增订
fvge,雪青
fvlg,雪车
fjuw,进益
farm,裁制
fauy,贲门
fbmg,地峡
fjqk,埋名
fntv,声律
fofk,赤露
fqvk,无如
ftap,老营
fyfm,塘坝
ffyk,款识
ffma,款曲
fwtt,堆笑
fwfb,霍地
fppy,过礼
fofb,赤地
fhsa,走棋
fuwn,丧假
fhcw,赴难
fbsg,地槽
fbse,地极
fffm,土坝
fiyu,未详
fknh,喜蛋
fkqk,嘉勉
fdmf,城雕
fffq,土坎
fnyd,专诚
fjny,进尺
ftto,考释
fhbu,越障
fgkr,干啤
fgfm,坪坝
fatm,栽秧
fflf,墙围
fpgi,索还
fdkt,震响
ftys,考订
fbcc,地垒
fgou,坯料
fctu,去冬
fcbf,云际
ffoo,封火
ffrh,土牛
fmad,坝基
fnup,声旁
fqlv,无轨
fnlw,专办
fgvv,士女
ffqu,封镜
fcdc,去雄
fcjj,去日
fcnl,翅翼
fdfy,城壕
fqjj,无日
fqqg,元鱼
ftfa,圪塔
ftjy,老景
fwfm,堆垛
fmqi,南乐
fyfj,坑井
fglp,干连
fgus,干亲
fiwa,求借
fjia,井灌
fjrt,刊播
fjsg,刊本
fuqg,增印
fyrg,坟丘
fwsf,零票
fart,栽插
fbih,地波
fkqg,喜钱
ffcc,土垒
fidn,求成
fgwd,二伏
fgqr,寸铁
fcia,支渠
fwov,零数
fpqe,索解
ftfu,老境
ftvx,考妣
fusc,丧权
fpdq,鹁鸪
fbum,地鳖
fhna,盐民
fmma,南曲
fkym,颉颃
flww,协从
fsfu,坷垃
ftqk,教名
fhic,盐滩
fnxk,声强
fnxy,声纹
fqpo,雹灾
fath,裁处
fkbu,喜联
fadf,裁夺
fsad,霜期
fibt,求降
fuyn,丧亡
fwwg,规例
ffyd,封斋
fnya,专席
fndi,亏耗
fhiv,盐沼
fdfm,城垛
fhsr,盐析
fwnu,零买
ffij,土温
ffqy,款留
fgsr,二板
fgxh,博引
fhmt,走账
ffwj,土偶
fyss,坑木
fnqm,亏负
fnwi,卖俏
fmbq,坍陷
ftgh,教正
fuxv,增绿
fyin,塘泥
fgbe,寸阴
ffhi,款步
fvpq,雪冤
fonp,赤忱
fntw,声符
fjff,进款
fiay,救荒
fsjd,霜晨
fhws,赵体
fkad,吉期
fhdw,趋奉
fanh,截收
ftai,教范
fylr,壕堑
fgqv,干急
faua,裁并
fcjs,翅果
fgiw,博洽
fhah,起卧
fcdu,去磁
fuec,增盈
fkft,瞽者
ffej,土腥
fnrr,亏折
fgll,圩田
fnlx,亏累
fnyk,违误
fbja,地蜡
fspd,霜害
fjge,坤表
fnbu,声障
ffnv,恚恨
fjre,刊授
gggg,五一
gggg,琵琶
gggg,琴瑟
gggg,一一
gggg,瑟瑟
ggwh,一个
gmdh,现在
gijg,还是
gijg,不是
gifp,不过
gide,还有
gisv,不要
gice,不能
gavc,开始
gghx,一些
gggh,一下
ggsu,一样
gkng,事情
gcbn,到了
ggfh,一直
giqa,不错
giwf,不会
gobn,来了
ggfh,一起
ghyw,政府
gmwh,两个
gimg,不同
gefi,表示
gguq,一次
gghk,一点
ghfa,下载
ggpg,一定
ggte,一般
ggtk,一种
givb,不好
giet,不用
gfjg,于是
gisv,还要
goyu,来说
ggav,一切
ghdh,正在
gegm,表现
ghgo,下来
ggfu,环境
ghtg,政策
giit,不少
gjqe,理解
gkwh,整个
gkwr,事件
gcyq,到底
gitp,不管
ghtf,下午
gkgo,带来
gcit,至少
gggd,一天
gibn,不了
gjlk,更加
gmfn,现场
gion,不断
gdid,天涯
gqbn,死了
goth,来自
gotg,严重
gmuq,再次
gkya,速度
gjqq,更多
giwc,不仅
gish,不想
gadn,形成
gant,开发
ggrh,一年
gorh,来看
ghdm,下面
ggpe,一家
givk,不如
gimj,否则
ghip,正常
ghfc,下去
geng,表情
gdgd,天天
gjus,更新
gmpu,现实
ghic,政治
gany,开心
ggts,一条
gjmh,理由
gitf,不行
ghaa,正式
ginb,不敢
gmyu,再说
gmwt,责任
gjjg,更是
gigm,不再
ghjg,正是
ggxt,一张
gglp,一边
gdgh,天下
gcgf,至于
giqd,不然
guck,平台
giqk,不够
gfpe,玩家
gfkm,球员
gogc,来到
gmqj,现象
gisk,不可
gdrn,天气
gaqj,形象
gfbw,球队
ggth,一片
gujf,平时
ggqk,一句
gqyn,死亡
ggqk,一名
gkpu,事实
gmwa,现代
gjyw,理论
gifh,还真
gkog,事业
ggjg,一旦
ggkw,一只
geip,表演
gvbb,妻子
ghbt,下降
ggwd,一段
ggfn,一块
gakk,武器
gjsh,理想
gkws,整体
gedp,表达
gcwy,至今
givb,还好
gxrf,素质
gitj,不得
gikh,不足
gidh,不在
ghuq,下次
ghdq,正确
gguk,一部
ggtg,一生
gdiv,天津
gabn,开了
gaaa,形式
gmwu,两位
ggrh,一看
gaic,武汉
gfop,球迷
ghbn,下了
ghrq,下的
ghvb,正好
ginr,不怕
gint,不必
gmir,刺激
goiy,亚洲
gufq,平均
gguf,一半
ggwr,一件
ggvt,一群
giqq,不多
gayt,开放
ggdd,一套
gony,恶心
gldm,画面
gcth,到处
gdpw,天空
gedw,青春
gibm,不出
gmtk,两种
gerh,青年
ggdm,一面
ggkh,一路
ghkh,下跌
giqy,不久
giwj,不但
gcdp,到达
gxsh,互相
gmgo,再来
ggbb,王子
gana,开展
gedm,表面
gmjm,遭遇
goid,来源
gost,严格
gdwg,天使
galg,开车
gkdt,事故
gifh,不起
gidd,不大
gicf,不对
ggwq,王爷
giyh,不让
giwy,不停
giyt,不许
ggjs,一颗
gimq,不见
giyy,不该
ggjf,一时
gkgj,整理
gjwy,理念
gjvb,更好
ggty,一篇
geje,表明
gdip,天堂
ggwk,环保
gidr,不愿
giyw,不论
ghgy,下班
gwna,珍惜
gutq,平衡
guge,平静
gcgo,到来
giwq,不像
gihe,不肯
ggto,一番
ggdj,一百
ggbl,一阵
gdfb,天地
gmbn,再也
ggmf,一周
gaal,武功
gkgd,整天
gmmq,再见
ggkk,一口
gghv,一眼
gggc,一致
gfrq,玩的
geqy,青岛
gcrq,到的
gupv,平安
gjyl,更为
gjnt,理性
gora,来找
giwy,不住
giuw,不准
giia,不满
gidn,不成
ggut,一道
ggrx,一批
ghgy,玻璃
gjde,更有
gihh,不止
gace,开通
goyf,来讲
gmqq,现金
gktr,事物
gkqt,事儿
ggtm,一身
ggcf,一对
ghfg,下雨
gfbn,玩了
garv,形势
gmud,现状
ghdm,正面
ghyq,正义
ggrh,五年
givy,不妨
ggwa,一代
ggtm,一向
gokc,来吧
giep,不爱
gkwy,带领
gdft,天才
gdtg,天生
ggab,环节
gmde,现有
ggck,一台
ggfw,一堆
gggb,一顿
gmgc,遭到
gxfc,互动
ggya,一度
ggyy,一方
ghlg,下车
ghvk,正如
gkuq,融资
gkxw,带给
giyw,否认
guip,平常
gkwg,整合
gmya,再度
gtgr,玫瑰
ggxg,一线
gglw,一轮
ggaw,一共
gdhh,天上
ggiy,一流
gifu,不幸
gkde,带有
gkwg,融合
gakk,开口
gawf,开会
gcjf,到时
gcwq,到你
gmrk,曹操
gutf,平等
gytt,斑竹
giwd,不做
gowh,来个
gyoy,玉米
gqsg,残酷
ggem,一股
gfhw,玩具
gffn,球场
gayn,开启
gqfc,死去
gcwu,到位
gria,珠江
gjdd,更大
gikt,不吃
giga,不开
gdqd,天然
gmlg,两国
gnad,与其
gnwq,与你
gitj,不利
goud,来着
ggxe,一级
gidq,不爽
giih,不小
giss,不禁
giul,不曾
giyi,不就
gjmf,理财
gkfc,带动
gkgk,整整
gmdd,两大
gmkw,两只
gojt,来临
gjtd,理智
govi,严肃
gqft,死者
gqge,列表
gqvy,残忍
gqww,死人
guna,平民
gady,形态
gapw,形容
gauy,开门
gdkb,天啊
ggcc,一双
ggjj,一日
ggmg,一同
ggud,一头
gakg,型号
ggrt,一手
gdrq,天的
gmts,两条
gass,武林
gatj,弄得
gdfh,天真
gouj,恶意
gmmd,两岸
gmpe,两家
gftt,玩笑
ggdn,一万
ggod,一类
gmep,遭受
ghim,下滑
gidb,不顾
ginn,不已
gipv,不安
giyv,不良
gjrq,更换
gkrg,事后
grit,珠海
ghth,正版
ghfn,下场
gglk,一回
gbjf,顿时
gate,开盘
gwkh,珍贵
ghiv,正当
giuq,还将
gigh,不下
gmfg,瑞士
gktf,事先
gkbn,带了
gqlg,列车
gmqk,两名
gmft,两者
gipg,否定
gkty,融入
gktl,事务
gnwb,与他
gmwf,两会
gipe,不宜
gfuj,玩意
gglu,一圈
ggvn,王妃
gmgi,再不
guoy,平米
guio,平淡
gtmp,麦迪
goys,恶魔
goxe,晋级
gotj,来得
goit,恶劣
gkyw,豆腐
ghsc,政权
ggyu,一说
ghfw,正规
ghrt,下手
gifi,还未
gigq,不死
gijq,不易
gdmg,天赋
ggaj,一幕
ggew,一脸
gggk,一带
gmqk,两句
gyta,班长
gokb,来啊
gmhk,两点
gkgc,带到
gqrg,死后
gjym,更高
ghmf,下周
giep,不受
gifh,不走
giyo,不变
gofp,来过
gije,不明
gicw,不难
ggxf,一贯
ggwv,一分
ggws,一体
ggkf,一味
gggo,一来
ggee,五月
gesk,表哥
gerr,表白
gcwg,致命
gauf,武装
gaud,形状
gaud,开头
gaaa,开工
gutq,平稳
gqpy,死神
golk,来回
gokr,来啦
gmlp,两边
glrq,画的
gkwq,带你
gkur,豆瓣
ginr,不愧
ggtf,一行
ggtv,一律
ghnt,下属
gifa,不堪
gikn,不叫
gikr,不听
gina,不惜
gqga,死刑
giwg,不便
giyg,还请
gaaj,开幕
gcaq,致敬
gkad,事项
godd,严厉
gcyp,到这
gdrg,天后
gext,靓颖
gasm,开机
ggfj,王朝
gggf,环球
ggkr,一听
ggso,一楼
geit,青海
gcwb,到他
gcrt,到手
ggrv,一招
gguy,一门
gffp,玩过
ghmm,下山
gchx,至此
girc,不把
gitv,还很
giyl,不为
gjuo,惠普
gasy,武术
gnpp,与之
gaud,开关
gabm,开出
gaip,开学
giiv,不当
gglk,一架
gglg,王国
ggkg,一号
gggm,一再
ggef,一脚
ggdt,一帮
ggdp,一碗
gfjt,球星
gtau,麦蒂
ghmm,下岗
ghym,下调
gieb,不服
giyi,不应
gmwx,现货
gojn,来电
gkic,整治
gklk,带回
gkpe,事宜
gmfp,再过
gujj,平日
gumy,平凡
gyrq,班的
gyxe,班级
ggdj,五百
gagk,刑事
gaym,开设
gcfp,到过
gedy,表态
ggnm,一届
ghkc,下吧
ggee,一月
ggbm,一出
gfqt,玩儿
gfhx,于此
gehg,青睐
gdkv,天哪
gdgg,天王
gcwg,致使
gafc,开支
gmma,瑞典
gkxg,束缚
gjnt,更改
gjce,更能
gowx,恶化
gixw,还给
gitd,不适
ggjq,一晚
gisg,不配
ggsd,一顶
ggma,一曲
gtbb,麦子
gilk,不回
goww,来人
gory,恶搞
goru,来接
gobn,灭了
gnww,与人
gayv,开朗
gibv,不限
ghxc,正经
ghpf,正宗
gmwt,现任
ghfv,下雪
ggyn,一刻
ggtf,五行
gngi,与否
gixx,不比
ghyj,下课
ggms,一朵
gaog,开业
geys,琢磨
gern,表扬
gejf,青蛙
gcad,到期
gguy,五六
galt,武力
gaif,刑法
gaaq,武警
gmtf,现行
goya,严谨
goyi,来就
gqty,列入
giey,不及
gidr,还原
gjxk,更强
gjwq,更像
gitk,不和
gknt,事发
gmlk,再加
gitf,不等
giqe,不解
gutk,平和
gmmf,两周
gmpt,刺客
grpg,珠宝
gqgf,死于
goty,来往
gomc,严峻
gokn,来呢
gmwm,两侧
gmbw,两队
glpe,画家
gjwf,理会
giyo,还蛮
giyn,不忘
giwg,不合
giwf,不佳
gini,不屑
gijf,不时
ghyy,下方
ghwy,下令
ggyw,王府
ggqn,一包
ggny,一心
ggkm,一员
ggiw,一举
gevf,表妹
gedx,青龙
gcpe,到家
gawb,开创
gard,开拓
gago,开来
gabw,开除
gxsf,素材
gxkk,毒品
gwgr,珍珠
gudm,平面
ghgq,下列
goyn,灭亡
gmgm,再现
glgl,画画
gkyj,整齐
gafn,开场
gasw,开枪
gksg,副本
gkpw,整容
gkga,整形
gcfn,到场
gckv,到哪
gdbn,天了
gddx,天龙
gemm,青山
gjtu,理科
gjsv,更要
gjnn,更快
gjgi,更不
gxax,毒药
gqyw,熬夜
gqit,死活
girs,不打
ggsj,一棵
gest,表格
gesy,表述
ggan,一世
ggjh,一早
ggqe,一角
giny,不尽
gimh,不由
giev,不妥
ghxg,下线
ghso,下楼
ggmj,一则
gglf,一团
gege,静静
gayh,开店
gaii,开水
gaid,开源
gahk,开战
gqyl,列为
gopl,亚军
gnvb,与她
gmym,两市
gmwy,现今
gmwd,再做
gmsu,两样
giwf,不值
gita,不长
girc,还把
godl,来历
gmwr,两件
gmrc,再把
gmfb,两地
gkyo,事迹
gkwx,融化
gkvb,带她
gkss,噩梦
gksm,整机
gkrq,带的
gkkb,事啊
gkgb,整顿
givy,不忍
gitp,不乏
giqk,不免
giou,不料
giiq,不光
gifj,不进
gifi,不求
gicb,不予
ghai,下落
ggqq,五金
ggpj,一审
ggmq,一见
gxkh,互踩
gtdq,麦克
gudr,平原
gqfg,烈士
gqwq,死你
ggmq,一岁
goyp,来这
ggfg,一二
gwad,珍藏
guyy,平方
gfga,玩弄
geve,表姐
gduj,天意
gdnt,天性
gdgu,天平
gafg,武士
gaaw,开花
goss,严禁
gfrq,球的
ggrd,一排
ghcn,下巴
gysc,玉树
gqut,残疾
goxw,来给
gojf,来时
gogx,恶毒
gogo,来来
gmra,再找
gmad,两项
gkrp,逼迫
gkpa,带宽
giww,不俗
gagc,弄到
gank,开辟
gkuq,豆浆
ghiy,下游
ghtf,下行
gipw,不容
giwc,不公
gawg,武侠
gbqn,顿饭
gdww,天价
gege,青青
